Date,Lo 30,Med 40,Hi 30
2020-09-11,   -0.73,   -0.22,   -0.01
2020-09-14,    2.84,    2.34,    1.48
2020-09-15,   -0.05,   -0.13,    0.65
2020-09-16,    1.18,    0.81,   -0.54
2020-09-17,   -0.24,   -0.53,   -0.89
2020-09-18,    0.56,   -0.65,   -0.95
2020-09-21,   -4.32,   -2.70,   -0.86
2020-09-22,    0.00,    0.80,    1.04
2020-09-23,   -3.67,   -2.43,   -2.45
2020-09-24,   -0.23,   -0.12,    0.31
2020-09-25,    1.47,    1.39,    1.74
2020-09-28,    2.35,    2.18,    1.59
2020-09-29,    0.11,   -0.52,   -0.43
2020-09-30,   -0.15,    0.43,    0.84
2020-10-01,    1.17,    1.33,    0.73
2020-10-02,    0.81,    0.54,   -1.14
2020-10-05,    2.93,    2.70,    1.84
2020-10-06,   -0.52,   -0.36,   -1.39
2020-10-07,    2.61,    2.19,    1.79
2020-10-08,    1.32,    1.06,    0.76
2020-10-09,    0.48,    0.58,    0.97
2020-10-12,    0.31,    0.64,    1.66
2020-10-13,   -0.67,   -0.55,   -0.41
2020-10-14,   -1.08,   -0.44,   -0.66
2020-10-15,    1.03,    0.85,   -0.19
2020-10-16,   -0.16,   -0.18,   -0.05
2020-10-19,   -1.10,   -1.12,   -1.59
2020-10-20,    0.19,    0.27,    0.37
2020-10-21,   -0.81,   -1.00,   -0.28
2020-10-22,    1.58,    1.81,    0.53
2020-10-23,    0.74,    0.59,    0.36
2020-10-26,   -2.65,   -2.20,   -1.80
2020-10-27,   -0.89,   -0.99,   -0.16
2020-10-28,   -2.91,   -2.80,   -3.49
2020-10-29,    1.38,    1.12,    1.12
2020-10-30,   -1.73,   -1.17,   -1.44
2020-11-02,    2.06,    1.84,    1.10
2020-11-03,    3.01,    2.40,    1.85
2020-11-04,   -1.01,    0.12,    2.51
2020-11-05,    2.89,    2.80,    2.02
2020-11-06,   -1.38,   -0.74,    0.10
2020-11-09,    4.50,    3.47,    0.54
2020-11-10,    2.28,    1.18,   -0.31
2020-11-11,   -0.07,    0.04,    0.96
2020-11-12,   -1.48,   -1.59,   -0.87
2020-11-13,    2.01,    2.13,    1.21
2020-11-16,    2.81,    2.20,    1.10
2020-11-17,    0.45,    0.35,   -0.30
2020-11-18,   -0.81,   -1.12,   -0.94
2020-11-19,    0.79,    0.91,    0.53
2020-11-20,    0.37,    0.01,   -0.60
2020-11-23,    2.36,    1.99,    0.64
2020-11-24,    2.47,    1.86,    1.52
2020-11-25,   -0.19,   -0.56,    0.05
2020-11-27,    0.68,    0.48,    0.39
2020-11-30,   -1.71,   -1.76,   -0.37
2020-12-01,    0.74,    0.99,    1.04
2020-12-02,    0.61,   -0.04,    0.16
2020-12-03,    0.73,    0.78,    0.06
2020-12-04,    2.97,    2.13,    0.83
2020-12-07,   -0.14,   -0.18,    0.01
2020-12-08,    1.39,    1.06,    0.37
2020-12-09,   -1.17,   -0.51,   -1.04
2020-12-10,    1.17,    1.03,    0.10
2020-12-11,   -0.83,   -0.44,   -0.12
2020-12-14,   -0.31,   -0.22,   -0.26
2020-12-15,    2.30,    2.12,    1.20
2020-12-16,   -0.21,   -0.41,    0.21
2020-12-17,    1.36,    1.09,    0.70
2020-12-18,   -0.50,   -0.12,   -0.15
2020-12-21,    0.10,    0.09,   -0.33
2020-12-22,    1.14,    0.67,   -0.08
2020-12-23,    1.27,    0.97,    0.00
2020-12-24,   -0.52,   -0.10,    0.31
2020-12-28,   -0.02,   -0.55,    0.68
2020-12-29,   -2.07,   -1.42,   -0.21
2020-12-30,    1.50,    1.08,    0.14
2020-12-31,   -0.23,   -0.22,    0.51
2021-01-04,   -0.54,   -1.37,   -1.37
2021-01-05,    2.29,    1.65,    0.72
2021-01-06,    4.01,    3.75,    0.41
2021-01-07,    2.38,    1.73,    1.67
2021-01-08,   -0.53,   -0.27,    0.60
2021-01-11,    0.31,    0.17,   -0.62
2021-01-12,    2.37,    1.64,    0.13
2021-01-13,   -0.83,   -0.92,    0.18
2021-01-14,    2.97,    1.59,   -0.40
2021-01-15,   -1.58,   -1.47,   -0.73
2021-01-19,    2.20,    1.11,    0.85
2021-01-20,    0.21,    0.53,    1.41
2021-01-21,   -0.85,   -0.73,    0.06
2021-01-22,    1.89,    0.59,   -0.25
2021-01-25,    0.66,   -0.43,    0.35
2021-01-26,    0.12,   -0.93,   -0.26
2021-01-27,   -0.66,   -2.32,   -2.62
2021-01-28,   -1.27,    0.62,    1.05
2021-01-29,   -0.35,   -1.96,   -1.89
2021-02-01,    2.17,    2.28,    1.63
2021-02-02,    0.59,    1.42,    1.52
2021-02-03,    1.57,    0.48,    0.05
2021-02-04,    1.74,    1.79,    1.13
2021-02-05,    1.68,    1.23,    0.47
2021-02-08,    4.27,    2.12,    0.72
2021-02-09,    1.25,    0.27,   -0.06
2021-02-10,   -0.64,   -0.31,   -0.05
2021-02-11,   -0.53,    0.29,    0.22
2021-02-12,    0.63,    0.34,    0.52
2021-02-16,    0.27,   -0.47,   -0.09
2021-02-17,   -0.86,   -0.62,   -0.09
2021-02-18,   -2.52,   -1.52,   -0.44
2021-02-19,    2.50,    2.07,   -0.16
2021-02-22,   -0.72,   -0.59,   -1.09
2021-02-23,   -2.24,   -0.25,    0.03
2021-02-24,    3.50,    1.98,    0.98
2021-02-25,   -3.77,   -3.41,   -2.55
2021-02-26,   -0.60,    0.00,   -0.32
2021-03-01,    4.67,    3.01,    2.50
2021-03-02,   -1.51,   -1.71,   -0.92
2021-03-03,   -0.83,   -1.01,   -1.54
