Date,Lo 30,Med 40,Hi 30
2020-02-07,   -0.57,   -0.69,   -0.62
2020-02-10,    0.97,    0.28,    0.16
2020-02-11,   -0.05,    0.73,    1.19
2020-02-12,    0.75,    0.62,    0.50
2020-02-13,   -0.09,   -0.01,   -0.18
2020-02-14,    0.33,   -0.02,   -0.54
2020-02-18,   -0.06,   -0.37,   -0.74
2020-02-19,    0.65,    0.35,    0.93
2020-02-20,   -0.54,   -0.04,    0.22
2020-02-21,   -1.34,   -0.63,   -1.26
2020-02-24,   -3.53,   -3.07,   -3.53
2020-02-25,   -2.91,   -3.32,   -3.84
2020-02-26,   -0.05,   -1.22,   -1.59
2020-02-27,   -4.31,   -4.15,   -4.21
2020-02-28,   -0.38,   -1.57,   -1.43
2020-03-02,    4.63,    4.01,    3.82
2020-03-03,   -2.87,   -2.60,   -3.47
2020-03-04,    4.24,    3.88,    2.95
2020-03-05,   -3.10,   -3.75,   -4.50
2020-03-06,   -1.35,   -2.28,   -3.36
2020-03-09,   -6.69,   -9.14,  -12.40
2020-03-10,    4.94,    4.28,    5.39
2020-03-11,   -4.82,   -5.27,   -6.07
2020-03-12,   -9.18,  -10.26,  -11.46
2020-03-13,    8.94,    8.96,   11.75
2020-03-16,  -11.46,  -12.65,  -14.20
2020-03-17,    6.04,    6.60,    4.28
2020-03-18,   -4.02,   -8.04,   -9.37
2020-03-19,    0.75,    1.42,    3.46
2020-03-20,   -4.27,   -3.98,   -4.73
2020-03-23,   -1.88,   -3.73,   -4.95
2020-03-24,    8.53,   10.73,   12.55
2020-03-25,    0.48,    2.47,    2.66
2020-03-26,    5.75,    6.52,    7.10
2020-03-27,   -3.36,   -3.57,   -4.12
2020-03-30,    3.61,    2.75,    1.09
2020-03-31,   -1.27,   -1.65,   -2.41
2020-04-01,   -3.99,   -5.09,   -6.65
2020-04-02,    2.12,    2.38,    2.00
2020-04-03,   -1.39,   -2.06,   -2.82
2020-04-06,    6.99,    7.01,    8.23
2020-04-07,   -0.51,    0.42,    2.17
2020-04-08,    2.88,    4.37,    5.11
2020-04-09,    0.80,    2.64,    4.82
2020-04-13,   -0.13,   -2.39,   -3.03
2020-04-14,    3.72,    1.84,    0.44
2020-04-15,   -1.38,   -3.53,   -4.87
2020-04-16,    1.24,   -0.36,   -2.17
2020-04-17,    1.93,    3.99,    6.04
2020-04-20,   -1.34,   -2.34,   -1.89
2020-04-21,   -3.22,   -2.55,   -3.37
2020-04-22,    2.51,    2.08,    0.91
2020-04-23,    0.01,    0.21,    0.74
2020-04-24,    1.49,    1.16,    1.62
2020-04-27,    1.12,    2.62,    4.39
2020-04-28,   -1.13,    0.71,    2.07
2020-04-29,    2.78,    2.85,    4.99
2020-04-30,   -0.37,   -2.58,   -3.49
2020-05-01,   -2.63,   -3.33,   -4.12
2020-05-04,    0.83,   -0.05,   -0.42
2020-05-05,    1.24,    0.42,   -0.36
2020-05-06,    0.09,   -1.91,   -2.23
2020-05-07,    1.15,    1.37,    2.24
2020-05-08,    1.47,    2.55,    4.08
2020-05-11,    0.70,   -1.14,   -2.59
2020-05-12,   -1.92,   -2.42,   -3.20
2020-05-13,   -1.42,   -2.59,   -4.21
2020-05-14,    0.97,    1.48,    2.33
2020-05-15,    0.82,   -0.13,   -0.33
2020-05-18,    2.28,    5.19,    7.23
2020-05-19,   -0.76,   -1.60,   -2.42
2020-05-20,    1.61,    2.06,    2.94
2020-05-21,   -0.82,   -0.66,   -0.23
2020-05-22,    0.39,    0.09,   -0.36
2020-05-26,    0.29,    3.04,    5.60
2020-05-27,    0.90,    2.55,    5.04
2020-05-28,   -0.01,   -0.74,   -3.17
2020-05-29,    0.96,   -0.14,   -1.35
2020-06-01,    0.27,    0.70,    1.37
2020-06-02,    0.69,    1.09,    1.28
2020-06-03,    0.81,    2.43,    3.67
2020-06-04,   -0.88,    0.41,    2.50
2020-06-05,    2.05,    3.39,    4.44
2020-06-08,    0.85,    2.02,    3.11
2020-06-09,   -0.12,   -2.21,   -2.60
2020-06-10,    0.51,   -2.38,   -4.36
2020-06-11,   -5.30,   -6.87,   -8.83
2020-06-12,    0.92,    1.69,    3.50
2020-06-15,    1.00,    0.98,    1.30
2020-06-16,    1.96,    1.55,    2.19
2020-06-17,    0.04,   -1.13,   -2.32
2020-06-18,    0.19,    0.03,   -0.03
2020-06-19,   -0.22,   -1.00,   -0.79
2020-06-22,    1.00,    0.14,   -0.39
2020-06-23,    0.57,    0.15,    0.20
2020-06-24,   -2.35,   -3.03,   -3.98
2020-06-25,    1.07,    0.98,    2.26
2020-06-26,   -2.32,   -2.32,   -4.17
2020-06-29,    1.36,    1.85,    2.38
2020-06-30,    1.71,    1.17,    1.82
2020-07-01,    0.87,   -0.12,   -1.68
2020-07-02,    0.58,    0.41,    0.44
2020-07-06,    1.96,    0.91,    1.81
2020-07-07,   -0.66,   -1.55,   -2.40
2020-07-08,    1.10,    0.42,    0.65
2020-07-09,    0.22,   -1.92,   -2.86
2020-07-10,    0.55,    1.99,    3.83
2020-07-13,   -1.61,   -0.43,    0.29
2020-07-14,    1.28,    1.54,    1.12
2020-07-15,    0.66,    1.91,    2.47
2020-07-16,   -0.56,    0.04,    0.07
2020-07-17,    0.41,    0.36,   -0.90
2020-07-20,    1.88,   -0.58,   -0.87
2020-07-21,   -0.60,    1.52,    2.49
2020-07-22,    0.51,    0.47,   -0.02
2020-07-23,   -1.87,   -0.02,    0.62
2020-07-24,   -0.57,   -1.36,   -0.54
2020-07-27,    1.38,   -0.05,   -0.63
2020-07-28,   -1.03,   -0.30,   -0.13
