Date,Lo 30,Med 40,Hi 30
2019-11-14,   -0.02,    0.04,    0.13
2019-11-15,    0.68,    0.86,    0.66
2019-11-18,   -0.05,   -0.08,    0.11
2019-11-19,    0.43,   -0.01,   -0.10
2019-11-20,   -0.08,   -0.37,   -0.38
2019-11-21,   -0.28,    0.09,   -0.27
2019-11-22,    0.31,    0.20,    0.29
2019-11-25,    1.08,    0.80,    0.98
2019-11-26,    0.01,    0.03,    0.36
2019-11-27,    0.46,    0.31,    0.53
2019-11-29,   -0.24,   -0.40,   -0.51
2019-12-02,   -0.89,   -0.71,   -0.97
2019-12-03,   -0.43,   -0.63,   -0.77
2019-12-04,    0.33,    0.73,    0.62
2019-12-05,    0.04,    0.17,    0.17
2019-12-06,    0.87,    0.85,    1.02
2019-12-09,   -0.32,   -0.41,   -0.28
2019-12-10,    0.00,   -0.06,   -0.12
2019-12-11,    0.01,    0.17,    0.46
2019-12-12,    0.91,    1.18,    0.72
2019-12-13,   -0.11,   -0.21,    0.12
2019-12-16,    0.98,    0.78,    0.62
2019-12-17,    0.15,    0.02,    0.18
2019-12-18,    0.02,   -0.03,   -0.08
2019-12-19,    0.47,    0.27,    0.56
2019-12-20,    0.51,    0.33,    0.57
2019-12-23,    0.06,    0.00,    0.19
2019-12-24,    0.19,    0.01,   -0.03
2019-12-26,    0.27,    0.32,    0.72
2019-12-27,   -0.26,   -0.14,    0.02
2019-12-30,   -0.56,   -0.56,   -0.54
2019-12-31,    0.45,    0.28,    0.24
2020-01-02,    0.64,    0.64,    1.14
2020-01-03,   -0.55,   -0.70,   -0.74
2020-01-06,    0.49,    0.39,    0.26
2020-01-07,   -0.01,   -0.38,   -0.14
2020-01-08,    0.45,    0.34,    0.55
2020-01-09,    0.71,    0.36,    0.87
2020-01-10,   -0.37,   -0.31,   -0.31
2020-01-13,    0.76,    0.45,    0.97
2020-01-14,    0.26,   -0.01,   -0.23
2020-01-15,    0.23,    0.07,    0.17
2020-01-16,    0.88,    0.79,    0.96
2020-01-17,    0.00,    0.31,    0.37
2020-01-21,   -0.47,   -0.33,   -0.33
2020-01-22,    0.25,    0.03,    0.08
2020-01-23,   -0.07,    0.11,    0.16
2020-01-24,   -1.05,   -1.10,   -0.79
2020-01-27,   -1.37,   -1.42,   -1.76
2020-01-28,    1.05,    0.83,    1.20
2020-01-29,   -0.21,   -0.45,    0.17
2020-01-30,    1.00,    0.34,    0.19
2020-01-31,   -1.70,   -1.76,   -1.76
2020-02-03,    1.27,    0.80,    0.72
2020-02-04,    1.68,    1.01,    1.98
2020-02-05,    0.30,    1.36,    1.00
2020-02-06,    0.25,    0.02,    0.48
2020-02-07,   -0.69,   -0.60,   -0.59
2020-02-10,    0.73,    0.47,    0.90
2020-02-11,    0.40,    0.51,    0.02
2020-02-12,    0.48,    0.60,    0.83
2020-02-13,    0.05,    0.01,   -0.18
2020-02-14,    0.19,    0.08,    0.20
2020-02-18,    0.17,   -0.32,   -0.23
2020-02-19,    0.81,    0.40,    0.68
2020-02-20,   -0.13,   -0.12,   -0.58
2020-02-21,   -0.93,   -0.89,   -1.40
2020-02-24,   -3.29,   -3.33,   -3.49
2020-02-25,   -3.09,   -3.25,   -2.99
2020-02-26,   -0.89,   -0.75,   -0.18
2020-02-27,   -4.09,   -3.95,   -4.54
2020-02-28,   -1.05,   -1.14,   -0.43
